"species","Id_species","beta_intercept","beta_temp","beta_prec","beta_sais_temp","beta_sais_prec","beta_pet","beta_cwd","beta_ndm","lambda_1","lambda_2"
"Commiphora marchandii",308,-35.7014241371889,62.0394958385383,-1.6321466234158,-23.4596023860445,1.25390209422228,-38.5179652452447,-9.29943214166794,-8.07384001854991,0.933566790110821,-0.864499499807241
"Hymenodictyon occidentale",309,-21.8323709947527,16.6683645112331,-2.78044108562328,-20.1844162066,0.335249472833053,-3.7098991212293,-13.3058022871853,-1.88477787362216,-0.0370954343333058,-0.228437180196345
"Albizia perrieri",310,-54.0065352384433,20.9485517929895,17.3220277148981,-48.9147285666434,29.5246104209864,50.1936721131307,-110.527047048858,-16.7003620628652,6.5101981882694,-6.04250714682285
"Neobeguea mahafaliensis",311,-9.67442578501129,2.12339264913973,-1.90080811410191,-14.3694762298196,-0.979279637077279,1.2485884523424,1.03110279106212,-12.9397585069941,2.38818881210962,0.334866465721589
"Crateva greveana",312,-42.9123803426975,57.2002452525276,0.202863079710619,-3.47399800954665,13.6240510984034,-94.9617098206199,47.1627345152136,-19.1036515635364,3.19490213042218,4.66397727805363
"Urena lobata",313,-8.59547000058714,12.8191732493686,4.1783928629366,-1.36468790834522,1.04366503210847,-18.5361210083235,5.69278017749154,-4.75554822560259,-0.939381039693068,0.889575799318815
"Gyrocarpus americanus",314,-5.95775962399837,4.66241673530299,0.0116609005859611,-3.3218214040953,-0.480150634218905,0.185251834685309,-2.82427836875708,-0.713831887298199,0.0709124296795909,-0.282292143158075
"Adansonia za",315,-26.1972682362908,28.1127741200628,-1.69811571650158,-17.7994392593228,-1.50176576797947,-11.6414186269477,-9.58993449912849,-2.24245388651635,-0.590584478307346,-0.529712985992941
"Capurodendron androyense",316,-3.63577401420906,0.828991589941109,-0.22762932759004,-2.56833569612948,-0.059474264797403,-0.421236329822762,0.0741311092779597,-2.03871581463159,-0.483134523156688,0.282025281792422
"Avicennia marina",317,-42.7797948013287,54.603894674671,-1.07720934898982,-28.1636750308654,5.74541338374107,-73.5742994606846,39.7517896208824,-42.5058534325707,0.198212720392738,-0.169668777047264
"Tarenna madagascariensis",318,-31.0266807977383,27.1834327039954,2.76458536730171,-1.58697354701064,8.25827672236725,-56.0158131327933,44.8418989994167,-23.706527577182,-2.61790808195054,0.735199971455116
"Acridocarpus excelsus",319,-46.3458835690316,29.6239544772231,-8.30363543017089,-38.0715362594512,10.4550716984878,-49.2632231887049,14.9054215590452,-25.6168137987973,-3.26273332511694,-0.068267253317871
"Sesamum indicum",320,-20.7869418562331,14.9762333819821,3.29912344831875,5.16608055531002,6.71750290009804,-22.9513638001533,-2.41606300798072,11.8984885276809,0.108605135499511,2.08895244920949
"Capurodendron mandrarense",321,-36.9249004866807,114.23299868748,13.1362520919455,19.0646701467373,10.2313483530969,-122.369505413984,-3.39114865676704,16.481625794148,3.00816727216905,1.46312442250863
